"","sample_name","Observed","Shannon","InvSimpson","orgname","X16scq","totsum","rspsum","mesocosm","type","stage","sex","date.collected","day","abdomen.length.mm","wing.length","hindleg.length","special","dispersal","temperature","infusion","Wolb_ct1","Wolb_ct2","Act_ct","notes","newday","lib_size","is.neg","even","lib_size_clean"
"23","M_D13_OL3_8_S239_L001",26,1.96341368222862,3.67016427887733,"M_D13_OL3.8",NA,19802,15641,"OL3.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","OL",NA,NA,NA,"","early",19802,FALSE,0.602625999357564,9200
"24","M_D13_SG1_1_S240_L001",19,0.985773600925942,1.55998390621518,"M_D13_SG1.1",NA,16235,15460,"SG1.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",16235,FALSE,0.334791655694291,9200
"25","M_D13_SG1_2_S241_L001",22,1.29746325646651,1.9232974261763,"M_D13_SG1.2",NA,13962,12998,"SG1.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",13962,FALSE,0.419749413359516,9200
"26","M_D13_SG1_3_S242_L001",26,1.34589172998737,1.9648208848946,"M_D13_SG1.3",NA,25161,23558,"SG1.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",25161,FALSE,0.413091421411559,9200
"27","M_D13_SG1_4_S243_L001",22,1.16339774019452,1.73995236099242,"M_D13_SG1.4",NA,17796,16776,"SG1.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",17796,FALSE,0.376377147111173,9200
"28","M_D13_SG1_5_S244_L001",23,1.40297479383676,2.01185272192216,"M_D13_SG1.5",NA,16366,14783,"SG1.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",16366,FALSE,0.447449332455876,9200
"29","M_D13_SG1_6_S245_L001",24,1.42567167581071,2.08914673461725,"M_D13_SG1.6",NA,29384,27157,"SG1.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",29384,FALSE,0.448598970286988,9200
"30","M_D13_SG1_7_S246_L001",23,1.24505485451877,1.79386529436537,"M_D13_SG1.7",NA,20666,19088,"SG1.7","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",20666,FALSE,0.39708408588144,9200
"31","M_D13_SG1_8_S247_L001",26,1.24180747578401,1.8272397492692,"M_D13_SG1.8",NA,27823,24451,"SG1.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",27823,FALSE,0.381145083115957,9200
"32","M_D13_SG2_1_S248_L001",17,1.01122080662894,1.60079071193389,"M_D13_SG2.1",NA,18245,17574,"SG2.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",18245,FALSE,0.356916576279147,9200
"33","M_D13_SG2_2_S249_L001",21,0.847501687298556,1.43859482734737,"M_D13_SG2.2",NA,22164,21521,"SG2.2","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",22164,FALSE,0.278369335301166,9200
"34","M_D13_SG2_3_S250_L001",21,0.844320889122488,1.42711391670436,"M_D13_SG2.3",NA,25354,24502,"SG2.3","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",25354,FALSE,0.277324574344027,9200
"35","M_D13_SG2_4_S251_L001",18,0.906971327008935,1.5060493396995,"M_D13_SG2.4",NA,18306,17703,"SG2.4","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","C","SG",NA,NA,NA,"","early",18306,FALSE,0.313790544254798,9200
"36","M_D13_SG2_5_S252_L001",16,1.18000837653964,2.05250344553346,"M_D13_SG2.5",NA,13094,12760,"SG2.5","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",13094,FALSE,0.425598058260295,9200
"37","M_D13_SG2_6_S253_L001",20,0.773584977635085,1.36051486872044,"M_D13_SG2.6",NA,11982,11604,"SG2.6","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","H","SG",NA,NA,NA,"","early",11982,FALSE,0.258229009469308,9200
"38","M_D13_SG2_8_S255_L001",24,1.03983213015059,1.63998792795276,"M_D13_SG2.8",NA,16851,16197,"SG2.8","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","D","H","SG",NA,NA,NA,"","early",16851,FALSE,0.327191478074098,9200
"39","M_D13_SG3_1_S256_L001",22,1.01618482134505,1.59977512423773,"M_D13_SG3.1",NA,17195,16138,"SG3.1","Microbial Water","Water","","8/27/19",12,NA,NA,NA,"","N","C","SG",NA,NA,NA,"","early",17195,FALSE,0.328751492960247,9200
