"","component","grpvar","term","grp","condval","condsd"
"cond.71","cond","mesocosm","(Intercept)","SW3.7",0.0710370438407413,0.145696461326919
"cond.72","cond","mesocosm","(Intercept)","SW3.8",-0.0219463254375501,0.145873136905802
"cond.73","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0001",-0.0403282878350589,0.41160617976512
"cond.74","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0002",0.0918977674818041,0.411058063294657
"cond.75","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0003",-0.143958138804339,0.414834573574935
"cond.76","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0004",-0.161876087803987,0.423087760626366
"cond.77","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0005",0.0700472557558388,0.416749787480412
"cond.78","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0006",-0.108846372677416,0.411397091361007
"cond.79","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0007",0.0463225395314209,0.410952173724442
"cond.80","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0008",0.0360852380668037,0.410881464428196
"cond.81","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0009",-0.0243911666242727,0.410847751589286
"cond.82","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0010",-0.0033981982317989,0.410822234690541
"cond.83","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0014",0.0145317452310149,0.410858514456014
"cond.84","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0016",-0.130799036445405,0.411802412364269
"cond.85","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0020",0.154412158834417,0.41987890144723
"cond.86","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0021",-0.171695570953231,0.415257246070475
"cond.87","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0023",0.0204152535989498,0.411136428302569
"cond.88","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0024",-0.0330141779932937,0.411386736965315
"cond.89","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0031",0.268901787629173,0.441130727100506
"cond.90","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0036",0.116616484684025,0.418711206209337
"cond.91","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0038",-0.187898081195322,0.420968204506683
"cond.92","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0043",0.0991955082586774,0.411487253580671
"cond.93","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0044",-0.305910476132808,0.424688200475488
"cond.94","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0049",-0.380584185087548,0.427169021274053
"cond.95","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0052",0.137857666871003,0.412111091511991
"cond.96","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0053",-0.0900451712965325,0.431105326498519
"cond.97","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0056",0.108470645905404,0.412261362689444
"cond.98","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0070",-0.272528166272359,0.442610479137927
"cond.99","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0079",-0.273940426427757,0.44191138798058
"cond.100","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0084",-0.20624628842582,0.424680225696555
"cond.101","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0086",0.362774070826042,0.43097211131719
"cond.102","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0092",-0.104299081530124,0.451100063891588
"cond.103","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0096",0.0627411964157415,0.431800974653328
"cond.104","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0147",-0.367324039489605,0.43985814425596
"cond.105","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0158",-0.00221075828533076,0.464708526919804
"cond.106","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0162",0.351274008666351,0.447218774820513
"cond.107","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0163",-0.101597442296314,0.451304262895658
"cond.108","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0195",-0.0826831665698844,0.45236018202142
"cond.109","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0218",-0.00253676893661196,0.464638070976296
"cond.110","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0227",-0.0452942868252062,0.457186392594813
"cond.111","cond","mesocosm:variable","(Intercept)","OL1.1:Otu0300",-0.0151992772466086,0.462104699534935
"cond.112","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0001",0.020746330557553,0.411031674455163
"cond.113","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0002",0.0643220797523871,0.410803216070591
"cond.114","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0003",-0.0890844666863578,0.411487008782963
"cond.115","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0004",-0.205802106922026,0.422986857966976
"cond.116","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0005",-0.073580686209852,0.416977256231794
"cond.117","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0006",-0.0807891456712356,0.410982613197426
"cond.118","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0007",0.0784297952575663,0.411007577498599
"cond.119","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0008",-0.0815507239970943,0.411013101565847
"cond.120","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0009",0.0292106932664397,0.410720776766132
"cond.121","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0010",0.010583465402854,0.410668811857068
"cond.122","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0014",-0.0429859680318868,0.410815685109388
"cond.123","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0016",0.0130276488072773,0.410776808505486
"cond.124","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0020",-0.11683829228406,0.420220037477012
"cond.125","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0021",-0.0328243398065483,0.411093881815723
"cond.126","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0023",-0.0752941152989424,0.411226893052035
"cond.127","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0024",-0.0379676986733416,0.411233004951943
"cond.128","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0031",0.0918099833887593,0.437141850228478
"cond.129","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0036",0.0699815332220238,0.418527192465543
"cond.130","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0038",-0.235957130270321,0.418604043772451
"cond.131","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0043",0.105350066243977,0.411399450926708
"cond.132","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0044",0.0247111900754496,0.415978721430753
"cond.133","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0049",-0.0759160405017475,0.417194967949783
"cond.134","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0052",0.0531073380543147,0.411394092196912
"cond.135","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0053",-0.0178766513455131,0.427813778423441
"cond.136","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0056",0.108763637984916,0.412058184916766
"cond.137","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0070",0.0615678085677513,0.429047620842564
"cond.138","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0079",0.438119656422267,0.425742695689016
"cond.139","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0084",0.114294281041266,0.416632211644714
"cond.140","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0086",-0.339811602705855,0.443602964984178
"cond.141","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0092",-0.115826703556254,0.449242521630108
"cond.142","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0096",-0.408578594706908,0.445560130965183
"cond.143","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0147",0.294147567637897,0.418188413570677
"cond.144","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0158",-0.00374358102338936,0.464382308991306
"cond.145","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0162",-0.100317622861544,0.451775670948437
"cond.146","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0163",0.250698385132364,0.440613379753043
"cond.147","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0195",0.297102870046237,0.44127971591098
"cond.148","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0218",-0.00325153011410566,0.464485551096713
"cond.149","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0227",-0.0561275917942092,0.455896329043294
"cond.150","cond","mesocosm:variable","(Intercept)","OL1.2:Otu0300",-0.0243810842971783,0.460564332851165
"cond.151","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0001",0.0850825621037479,0.411247803838771
"cond.152","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0002",0.0883489702606239,0.410998588558752
"cond.153","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0003",-0.0430147041848865,0.410979280702672
"cond.154","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0004",0.0855690303846176,0.417503487500066
"cond.155","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0005",0.135955986949621,0.412348956658976
"cond.156","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0006",-0.0666047224427518,0.410933997711473
"cond.157","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0007",-0.0116389242764089,0.410791882889488
"cond.158","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0008",-0.0357475791166692,0.410826611667311
"cond.159","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0009",0.00466791147742795,0.410737488093052
"cond.160","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0010",0.0695616653779644,0.410901524687353
"cond.161","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0014",0.0399914377590804,0.410827997955377
"cond.162","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0016",0.0140280691430695,0.410854129702577
"cond.163","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0020",0.126584901768212,0.420010141621203
"cond.164","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0021",-0.276381789529928,0.417226511518406
"cond.165","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0023",0.0703311086084692,0.41122958164285
"cond.166","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0024",0.0170899884737253,0.411181676242189
"cond.167","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0031",0.0210464323669124,0.435894125883897
"cond.168","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0036",0.0262086653215852,0.417777729597145
"cond.169","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0038",-0.229457027793381,0.421882911048648
"cond.170","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0043",0.147994853848216,0.411885800602899
"cond.171","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0044",0.0376835826863381,0.415799048268159
"cond.172","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0049",-0.0740276642663524,0.416981813535393
"cond.173","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0052",0.146120811126773,0.412260285949742
"cond.174","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0053",-0.283496801653004,0.440067891293854
"cond.175","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0056",0.0526035608186478,0.411861932753907
"cond.176","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0070",-0.325258797395491,0.44055168985878
"cond.177","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0079",-0.251382936896004,0.442512035884569
"cond.178","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0084",0.0473596489066261,0.416407199559131
"cond.179","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0086",-0.278455967498723,0.443335835959325
"cond.180","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0092",-0.113130960724272,0.450334827239078
"cond.181","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0096",0.292610351529563,0.430864061878693
"cond.182","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0147",0.148053234099178,0.421285796736531
"cond.183","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0158",-0.00241032345901709,0.464664630837416
"cond.184","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0162",-0.071075683738721,0.454872790123109
"cond.185","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0163",-0.0870930886319188,0.452174374800055
"cond.186","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0195",-0.0826081440559703,0.452584047547383
"cond.187","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0218",-0.00355086104644313,0.464422545895148
"cond.188","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0227",-0.0328777488576049,0.458940802269925
"cond.189","cond","mesocosm:variable","(Intercept)","OL1.3:Otu0300",-0.011499987028395,0.462761947245218
"cond.190","cond","mesocosm:variable","(Intercept)","OL1.4:Otu0001",-0.0278134911936807,0.411045257735217
"cond.191","cond","mesocosm:variable","(Intercept)","OL1.4:Otu0002",0.0626417561224144,0.410800846359297
"cond.192","cond","mesocosm:variable","(Intercept)","OL1.4:Otu0003",-0.141661145494469,0.411981955034544
"cond.193","cond","mesocosm:variable","(Intercept)","OL1.4:Otu0004",-0.272064493722191,0.424019241872577
"cond.194","cond","mesocosm:variable","(Intercept)","OL1.4:Otu0005",-0.075174168724269,0.416475968247224
