sample_name,orgname,16scq,totsum,rspsum,mesocosm,type,stage,sex,date.collected,day,abdomen.length.mm,wing.length,hindleg.length,special,dispersal,temperature,infusion,Wolb_ct1,Wolb_ct2,Act_ct,notes
OL2_8_7_S67_L001,OL2.8_7,26.20592444,44165,44141,OL2.8,A.albopictus,Adult,F,8/27/19,12,2.44,2.8,6.12,,D,H,OL,21.88799286,21.76529121,22.36457443,
OL3_5_1_S88_L001,OL3.5_1,27.06290798,38727,38602,OL3.5,A.albopictus,Adult,F,8/27/19,12,2.82,2.61,6.89,,N,H,OL,24.36491013,24.46465683,22.42519569,
OL3_7_1_S96_L001,OL3.7_1,27.15975863,51648,51342,OL3.7,A.albopictus,Adult,M,8/27/19,12,2.63,2.39,6.31,,D,H,OL,24.79702187,24.31543541,24.7146225,
OL3_7_2_S97_L001,OL3.7_2,27.16550081,43587,43188,OL3.7,A.albopictus,Adult,F,8/27/19,12,2.88,2.39,7.71,,D,H,OL,23.26000595,23.84420395,24.62101936,
SG2_5_1_S122_L001,SG2.5_1,26.4012766,54392,54251,SG2.5,A.albopictus,Adult,F,8/27/19,12,2.93,2.99,6.88,,N,H,SG,19.80718231,20.33672523,23.59868431,
SG2_5_2_S123_L001,SG2.5_2,27.13147069,40048,39876,SG2.5,A.albopictus,Adult,M,8/27/19,12,2.73,2.78,6.56,,N,H,SG,20.33911705,19.78963089,24.16260338,
SG2_5_3_S124_L001,SG2.5_3,28.91587805,62685,62162,SG2.5,A.albopictus,Adult,M,8/27/19,12,2.81,2.53,6.21,,N,H,SG,20.94073486,20.14508629,24.25942802,
SG2_6_2_S129_L001,SG2.6_2,27.9638998,31146,31004,SG2.6,A.albopictus,Adult,F,8/27/19,12,2.55,2.66,6.15,,N,H,SG,25.41758347,25.08804131,22.75914001,
SG3_6_1_S145_L001,SG3.6_1,27.85152686,29050,28941,SG3.6,A.albopictus,Adult,M,8/27/19,12,2.62,2.39,6.01,,N,H,SG,23.22021484,23.58190346,23.762743,
OL1_7_2_S27_L001,OL1.7_2,28.46153293,41144,40782,OL1.7,A.albopictus,Adult,M,8/28/19,13,2.76,2.3,6.57,,D,H,OL,23.07793427,20.60719299,23.37525749,
OL2_6_4_S51_L001,OL2.6_4,23.3922353,42230,42166,OL2.6,A.albopictus,Adult,M,8/28/19,13,2.99,2.29,7.01,,N,H,OL,18.73077965,18.87846756,23.35840797,
OL2_7_7_S60_L001,OL2.7_7,27.4662942,47111,46899,OL2.7,A.albopictus,Adult,M,8/28/19,13,2.37,2.01,5.88,,D,H,OL,20.76139069,20.09075737,23.19689369,
OL3_1_1_S69_L001,OL3.1_1,29.2976292,43860,43572,OL3.1,A.albopictus,Adult,M,8/28/19,13,2.75,2.58,6.55,,N,C,OL,24.77500534,23.88071823,23.50351524,
OL3_6_4_S93_L001,OL3.6_4,29.14563185,40140,40140,OL3.6,A.albopictus,Adult,M,8/28/19,13,2.4,2.15,6.49,,N,H,OL,24.71504593,24.67155075,23.63624763,
OL3_6_5_S94_L001,OL3.6_5,27.0827751,50952,50758,OL3.6,A.albopictus,Adult,M,8/28/19,13,2.29,2.18,7.01,,N,H,OL,24.12231445,24.34895706,23.30485535,
OL3_8_3_S101_L001,OL3.8_3,26.85815117,78874,78721,OL3.8,A.albopictus,Adult,M,8/28/19,13,2.29,2.18,7.01,,D,H,OL,20.98507309,21.37578201,24.61965752,
